First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Julian,Parkhill,Microbiology,"Wellcome Trust Sanger Inst, UK",,,
Julian I,Schroeder,Plant & Animal Science,"University of California, San Diego, USA",,,
Julie A,Schneider,Neuroscience & Behavior,"Rush University, USA",,,
Julie E,Buring,Clinical Medicine,"Harvard University, USA",,,
Julie M,Decker,Microbiology,"The University of Alabama at Birmingham, USA",,,
Julienne C,Stroeve,Geosciences,"University of Colorado at Boulder, USA",,,
Julinda,Mehilli,Clinical Medicine,"Deutsch Herzzentrum Munich, Germany",,,
Jun,Fang,Pharmacology & Toxicology,"Sojo University, Japan",,,
Jun,Lin,Materials Science,"Chinese Academy of Sciences, China",,,
Jun,Liu,Chemistry,"Pacific NW Natl Lab, USA",,,
Jun,Liu,Engineering,"Pacific NW Natl Lab, USA",,,
Jun,Liu,Materials Science,"Pacific NW Natl Lab, USA",,,
Jun,Wang,Engineering,"The Chinese University of Hong Kong, Hong Kong, China",,,
Jun,Wang,Molecular Biology & Genetics,"BGI-SHENZHEN, China","King Abdulaziz University, Saudi Arabia",http://www.researcherid.com/rid/A-7261-2013,A-7261-2013
Jun,Ye,Physics,"University of Colorado at Boulder, USA","NIST, USA",,
Jun-Ho,Yum,Chemistry,"Ecole Polytechnique Federale de Lausanne, Switzerland",,,
Junji,Kido,Materials Science,"Yamagata univ., Japan",,http://www.researcherid.com/rid/H-3049-2012,H-3049-2012
Jurek,Krzesinski,Space Science,"Akad Pedog Krakowie, Poland","Apache Point Observ, USA",,
Jurriaan,Ton,Plant & Animal Science,"University of Sheffield, United Kingdom",,http://www.researcherid.com/rid/G-3295-2014,G-3295-2014
Jushan S,Bai,Economics & Business,"Columbia University, USA",,,
Justin,Hanes,Pharmacology & Toxicology,"The Johns Hopkins University, USA",,,
Justin J P,Jansen,Economics & Business,"Erasmus University, Netherlands","King Abdulaziz University, Saudi Arabia",,
Justin L,Vincent,Neuroscience & Behavior,"Harvard University, USA",,,
Juyoung,Yoon,Chemistry,"Ewha Womans University, South Korea",,,
K Barry,Sharpless,Chemistry,"Scripps Res Inst, USA",,,
K George,Chandy,Pharmacology & Toxicology,"University of California, Irvine, USA",,,
Kai,Morgenstern,Agricultural Sciences,"RKW Kompetenzzentrum (Projektleitung), Germany",,,
Kai,Simons,Biology & Biochemistry,"Max Planck Inst Mol Cell Biol & Genet, Germany",,,
Karel,Svoboda,Neuroscience & Behavior,"Howard Hughes Med Inst, USA",,,
Karen A,Lillycrop,Agricultural Sciences,"University of Southampton, UK",,,
Karen C,Johnson,Clinical Medicine,"University of Tennessee Health Science Center, USA",,,
Karen E,Nelson,Microbiology,"J Craig Venter Inst, USA",,,
Karen H,Ashe,Neuroscience & Behavior,"University of Minnesota, Twin Cities, USA","Minneapolis Veterans Affairs Healthcare System, USA",,
Karen L,Mohlke,Molecular Biology & Genetics,"University of North Carolina at Chapel Hill, USA",,,
Kari,Stefansson,Molecular Biology & Genetics,"deCODE Genet, Iceland","University of Iceland, Iceland",,
Karin,Ljung,Plant & Animal Science,"Swedish University of Agricultural Sciences, Sweden",,,
Karl,Deisseroth,Neuroscience & Behavior,"Stanford University, USA",,,
Karl,Glazebrook,Space Science,"Swinburne University of Technology, Australia",,,
Karl,Sirotkin,Biology & Biochemistry,"NIH, USA",,,
Karl Anker,Jorgensen,Chemistry,"Aarhus University, Denmark",,,
Karl B,Swedberg,Clinical Medicine,"University of Gothenburg, Sweden","Imperial College London, UK",,
Karl J,Friston,Neuroscience & Behavior,"University College London, UK",,,
Karsten,Kalbitz,Agricultural Sciences,"University of Amsterdam (UvA), Netherlands",,http://www.researcherid.com/rid/A-9641-2013,A-9641-2013
Kasper,Hoebe,Immunology,"Cincinnati Childrens Hosp Res Fdn, USA",,,
Kate,Seers,"Social Sciences, general","University of Warwick, UK",,,
Kate R,Rosenbloom,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Katherine A,Fitzgerald,Immunology,"University of Massachusetts Medical School - Worcester, USA",,,
Katherine M,Flegal,Clinical Medicine,"Ctr Dis Control & Prevent, USA",,,
Kathi,Canese,Biology & Biochemistry,"NIH, USA",,,
Kathleen I,Pritchard,Clinical Medicine,"Sunnybrook Health Sciences Centre | University of Toronto, Canada",,http://www.researcherid.com/rid/I-2184-2014,I-2184-2014
Kathleen Ries,Merikangas,Psychiatry/Psychology,"NIMH, USA",,,
Kathryn,Beal,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Katsuaki,Hoshino,Immunology,"Kagawa University, Faculty of Mediine, Japan",,http://www.researcherid.com/rid/L-9162-2014,L-9162-2014
Katsuhiko,Ariga,Materials Science,"National Institute for Materials Science, Japan",,http://www.researcherid.com/rid/H-2695-2011,H-2695-2011
Kayla E,Smith,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Kay-Tee,Khaw,Clinical Medicine,"University of Cambridge, UK",,,
Kazuhiro,Shimasaku,Space Science,"The University of Tokyo, Japan",,http://www.researcherid.com/rid/G-5056-2014,
Kazuki,Saito,Plant & Animal Science,"Chiba University, Japan","RIKEN, Japan",http://www.researcherid.com/rid/D-2670-2009,D-2670-2009
Kazuko,Yamaguchi-Shinozaki,Plant & Animal Science,"The University of Tokyo, Japan","Japan Int Ctr Agr Sci, Japan",,
Kazunori,Kataoka,Pharmacology & Toxicology,"The University of Tokyo, Japan",,http://www.researcherid.com/rid/K-7108-2012,K-7108-2012
Kazuo,Shinozaki,Plant & Animal Science,"RIKEN Center for Sustainable Resource Science, CSRS, Japan","RIKEN Center for Sustainable Resource Science, CSRS, Japan",http://www.researcherid.com/rid/G-4202-2013,G-4202-2013
Ke,Lu,Materials Science,"Chinese Academy of Sciences, China",,,
Keith,Emery,Engineering,"Natl Renewable Energy Lab, USA",,,
Keith,Fagnou,Chemistry,"University of Ottawa, Canada",,,
Keith A A,Fox,Clinical Medicine,"The University of Edinburgh, UK",,,
Keith T,Flaherty,Clinical Medicine,"Massachusetts Gen Hosp, USA",,,
Keith W,Oleson,Geosciences,"Natl Ctr Atmospher Res, USA",,,
Kelly D,Brownell,"Social Sciences, general","Duke University, United States",,http://www.researcherid.com/rid/H-3649-2014,H-3649-2014
Kelly L,Wolfe,Agricultural Sciences,"Cornell University, USA",,,
Kemal,Kazan,Plant & Animal Science,"Commonwealth Scientific and Industrial Research Organisation, CSIRO, Australia",,http://www.researcherid.com/rid/B-8032-2008,B-8032-2008
Ken,Donaldson,Pharmacology & Toxicology,"The University of Edinburgh, UK",,,
Ken,Mackie,Pharmacology & Toxicology,"Indiana University Bloomington, USA",,,
Ken,Shirasu,Plant & Animal Science,"RIKEN, Japan","The University of Tokyo, Japan",http://www.researcherid.com/rid/A-4455-2010,A-4455-2010
Ken E,Leslie,Agricultural Sciences,"University of Guelph, Canada",,,
Ken J,Davis,Agricultural Sciences,"Pennsylvania State University - University Park, USA",,,
Ken J,Ishii,Immunology,"WPI Immunology Frontier Research Center (IFREC), Osaka university, Japan","National Institute of Biomedical Innovation (NIBIO), Japan",http://www.researcherid.com/rid/B-1685-2012,B-1685-2012
Kendall N,Houk,Chemistry,"University of California, Los Angeles, USA",,,
Kenneth,Dickstein,Clinical Medicine,"University of Bergen, Norway",,,
Kenneth A,Jacobson,Pharmacology & Toxicology,"National Institutes of Health (NIH), United States",,http://www.researcherid.com/rid/A-1530-2009,A-1530-2009
Kenneth C,Anderson,Clinical Medicine,"Harvard University, USA",,,
Kenneth DR,Setchell,Agricultural Sciences,"Childrens Hosp Med Ctr, USA",,,
Kenneth H,Nealson,Microbiology,"University of Southern California, USA",,,
Kenneth L,Reed,Pharmacology & Toxicology,"DuPont Haskell Global Ctr Hlth & Environm Sci, USA",,,
Kenneth S,Carslaw,Geosciences,"University of Leeds, UK",,,
Kenneth S,Kendler,Psychiatry/Psychology,"Virginia Commonwealth University, USA",,,
Kenneth W,Kinzler,Clinical Medicine,"Johns Hopkins Kimmel Canc Ctr, USA",,,
Kenya,Honda,Immunology,"Keio University, Japan","RIKEN Ctr Integrative Med Sci, Japan",,
Kerry,O'Donnell,Plant & Animal Science,"USDA ARS, USA",,,
Kerry J,Vahala,Physics,"California Institute of Technology, USA",,,
Kerstin,Lindblad-Toh,Molecular Biology & Genetics,"Broad Inst Harvard & Massachusetts Inst Technol, USA","Uppsala University, Sweden",,
Kevin,Fiscella,"Social Sciences, general","University of Rochester, USA",,,
Kevin D,Hyde,Plant & Animal Science,"King Saud University, Saudi Arabia","Mae Fah Luang University, Thailand",,
Kevin E,Trenberth,Geosciences,"NCAR, USA",,,
Kevin J,Gaston,Environment/Ecology,"University of Exeter, UK",,,
Kevin W,Plaxco,Chemistry,"University of California, Santa Barbara, USA",,,
Kilwon,Cho,Materials Science,"Pohang University of Science and Technology (POSTECH), Korea, Republic of",,http://www.researcherid.com/rid/H-2685-2014,H-2685-2014
Kim,Pilegaard,Agricultural Sciences,"Technical University of Denmark, Denmark",,,
Kim C,Worley,Molecular Biology & Genetics,"Baylor College of Medicine, USA",,,
Kim D,Pruitt,Biology & Biochemistry,"NIH, USA",,,
Kimoon,Kim,Chemistry,"Pohang University of Science and Technology, South Korea",,,
Kinam,Park,Pharmacology & Toxicology,"Purdue University - West Lafayette, USA",,,
Kin-Lu,Wong,Engineering,"National Sun Yat-sen University, Kaohsiung, Taiwan, Taiwan",,http://www.researcherid.com/rid/E-2482-2013,E-2482-2013
Kiyoshi,Takeda,Immunology,"Osaka University, Japan",,http://www.researcherid.com/rid/C-9331-2009,C-9331-2009
Klaus,Becker,Agricultural Sciences,"University of Hohenheim, Germany",,,
David J,Cohen,Clinical Medicine,"University of Missouri - Kansas City, USA",,,
David J,Hunter,Molecular Biology & Genetics,"Harvard University, USA",,,
David J,Kupfer,Psychiatry/Psychology,"University of Pittsburgh, USA",,,
David J,Lipman,Biology & Biochemistry,"NIH, USA",,,
David J,Love,Computer Science,"Purdue University - West Lafayette, USA",,,
David J,Mooney,Materials Science,"Harvard University, USA",,,
David J,Schlegel,Space Science,"Lawrence Berkeley Natl Lab, USA",,,
David J,Singh,Physics,"Oak Ridge Natl Lab, USA",,,
David Julian,McClements,Agricultural Sciences,"University of Massachusetts Amherst, United States",,http://www.researcherid.com/rid/F-8283-2011,F-8283-2011
David L,Donoho,Computer Science,"Stanford University, USA",,,
David L,Donoho,Engineering,"Stanford University, USA",,,
David L,Donoho,Mathematics,"Stanford University, USA",,,
David L,Kaplan,Materials Science,"Tufts University, USA",,,
David L,Wheeler,Biology & Biochemistry,"Natl Inst Hlth, USA",,,
David M,Alexander,Space Science,"University of Durham, UK",,,
David M,Altshuler,Molecular Biology & Genetics,"Broad Inst MIT & Harvard, USA",,,
David M,Cutler,"Social Sciences, general","Harvard University, USA",,,
David M,Geiser,Plant & Animal Science,"Pennsylvania State University - University Park, USA",,,
David M,Holtzman,Neuroscience & Behavior,"Washington University in St. Louis, USA",,,
David M,Lawrence,Geosciences,"Natl Ctr Atmospher Res, USA",,,
David M,Livermore,Microbiology,"University of East Anglia, UK","Public Health England, UK",,
David M,Nathan,Clinical Medicine,"Massachusetts Gen Hosp, USA",,,
David M,Richardson,Environment/Ecology,"Stellenbosch University, South Africa",,,
David M,Sabatini,Biology & Biochemistry,"Massachusetts Institute of Technology (MIT), USA","Broad Inst Harvard & MIT, USA",,
David M,Sabatini,Molecular Biology & Genetics,"Massachusetts Institute of Technology (MIT), USA","Broad Inst Harvard & MIT, USA",,
David M,Villeneuve,Physics,"National Research Council Canada, Canada","University of Ottawa, Canada",http://www.researcherid.com/rid/I-4140-2012,I-4140-2012
David N,Spergel,Space Science,"Princeton University, USA",,,
David N C,Tse,Computer Science,"University of California, Berkeley, USA",,,
David P,Bartel,Molecular Biology & Genetics,"Whitehead Inst Biomed Res, USA","Massachusetts Institute of Technology (MIT), USA",,
David P,Faxon,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
David P,Mackinnon,Psychiatry/Psychology,"Arizona State University - Tempe, USA",,,
David P,Strachan,Molecular Biology & Genetics,"St George's University of London, UK",,,
David P,Wilkinson,Engineering,"Clean Energy Res Ctr, Canada","University of British Columbia, Canada",,
David R,Holmes,Clinical Medicine,"Mayo Medical School, USA",,,
David R,Karger,Computer Science,"Massachusetts Institute of Technology (MIT), USA",,,
David R,Nelson,Plant & Animal Science,"University of Tennessee Health Science Center, USA",,,
David R,Smith,Physics,"Duke University, USA",,,
David R,Williams,Psychiatry/Psychology,"Harvard University, USA",,,
David R,Williams,"Social Sciences, general","Harvard University, USA",,,
David S,Eisenberg,Biology & Biochemistry,"University of California, Los Angeles, USA",,,
David S,Knopman,Neuroscience & Behavior,"Mayo Medical School, USA",,,
David S,Siscovick,Clinical Medicine,"University of Washington, USA",,,
David S,Wishart,Biology & Biochemistry,"University of Alberta, Canada","CNR, Canada",,
David T,Jones,Computer Science,"University College London, UK",,,
David W,Bates,"Social Sciences, general","Brigham & Womens Hosp, USA",,,
David W,Hogg,Space Science,"Max Planck Inst Astron, Germany","New York University, USA",,
David W C,MacMillan,Chemistry,"Princeton University, USA",,,
David Y,Hollinger,Agricultural Sciences,"US Forest Serv, USA",,,
Davood Domiri,Ganji,Engineering,"Babol Noshirvani University of Technology, Iran","Elites Foundation of Mazandaran Province, Iran",,
Deanna M,Church,Biology & Biochemistry,"NIH, USA",,,
Deborah,Estrin,Computer Science,"Cornell University, USA",,,
Deborah A,Dawson,Psychiatry/Psychology,"NIAAA, USA",,,
Deborah A,Nickerson,Molecular Biology & Genetics,"University of Washington, USA",,,
Deborah S,Hasin,Psychiatry/Psychology,"Columbia University, USA","New York State Psychiat Inst & Hosp, USA",,
Deborah S,Jin,Physics,"University of Colorado at Boulder, USA","NIST, USA",,
Debra J,Umberson,"Social Sciences, general","The University of Texas at Austin, USA",,,
Deepak L,Bhatt,Clinical Medicine,"Brigham & Womens Hosp, USA","Harvard University, USA",,
Dejian,Huang,Agricultural Sciences,"National University of Singapore, Singapore",,,
Demetrios N,Christodoulides,Physics,"University of Central Florida, USA","King Abdulaziz University, Saudi Arabia",,
Dennis A,Benson,Biology & Biochemistry,"NIH, USA",,,
Dennis D,Baldocchi,Agricultural Sciences,"University of California, Berkeley, United States",,http://www.researcherid.com/rid/A-1625-2009,A-1625-2009
Dennis E,Discher,Pharmacology & Toxicology,"University of Pennsylvania, USA",,,
Dennis J,Selkoe,Neuroscience & Behavior,"Harvard University, USA",,,
Dennis P,Lettenmaier,Geosciences,"University of Washington, USA",,,
Dennis R,Burton,Microbiology,"The Scripps Research Institute, USA","Massachusetts General Hospital, USA",,
Dennis S,Charney,Psychiatry/Psychology,"Icahn School of Medicine at Mount Sinai, USA",,,
Dennis W,Dickson,Neuroscience & Behavior,"Mayo Medical School, USA",,,
Derek C G,Muir,Environment/Ecology,"Environm Canada, Canada",,,
Derek R,Lovley,Microbiology,"University of Massachusetts Amherst, USA","King Abdulaziz University, Saudi Arabia",,
Desiree M F M,Van Der Heijde,Clinical Medicine,"Leiden University, Netherlands",,,
Desmond G,Higgins,Computer Science,"University College Dublin, Ireland",,,
Detlef,Weigel,Plant & Animal Science,"Max Planck Inst Dev Biol, Germany",,,
Devah,Pager,"Social Sciences, general","Harvard University, USA",,,
Dhruv,Grewal,Economics & Business,"Babson College, USA",,,
Diana O,Perkins,Psychiatry/Psychology,"University of North Carolina at Chapel Hill, USA",,,
Dianne,Neumark-Sztainer,"Social Sciences, general","University of Minnesota, Twin Cities, USA",,,
Diederick E,Grobbee,Clinical Medicine,"University Medical Center Utrecht, Netherlands",,http://www.researcherid.com/rid/C-7651-2014,C-7651-2014
Dieter,Enders,Chemistry,"RWTH Aachen University, Germany",,,
Dimitra J,Daferera,Agricultural Sciences,"Agricultural University of Athens, Greece",,,
Dinesh,Mohan,Engineering,"Jawaharlal Nehru University, India",,,
Ding-Xuan,Zhou,Mathematics,"City University of Hong Kong, Hong Kong, China",,,
Dinshaw J,Patel,Biology & Biochemistry,"Mem Sloan Kettering Canc Ctr, USA",,,
Dirk,Inze,Plant & Animal Science,"Ghent University, Belgium","Flanders Institute for Biotechnology, Belgium",,
Dirk M,Guldi,Chemistry,"University of Erlangen-Nuremberg, Germany",,,
Dmitri,Golberg,Materials Science,"National Institute for Materials Science, Japan",,http://www.researcherid.com/rid/H-2776-2011,
Dmitri V,Talapin,Chemistry,"Argonne Natl Lab, USA","University of Chicago, USA",,
Dmitry I,Gabrilovich,Immunology,"University of South Florida, USA",,,
Dominic M,Walsh,Neuroscience & Behavior,"Brigham & Womens Hosp, USA",,,
Dominick J,Angiolillo,Clinical Medicine,"University of Florida, USA",,,
Dominique,Raynaud,Geosciences,"Joseph Fourier University (Grenoble 1), France",,,
Don W,Cleveland,Neuroscience & Behavior,"University of California, San Diego, USA",,,
Donal,O'Regan,Mathematics,"National University of Ireland, Galway, Ireland","King Abdulaziz University, Saudi Arabia",,
Donal D C,Bradley,Materials Science,"Imperial College London (90%), UK","Nanjing University of Technology (5%), China; Hong Kong Baptist University (5%), Hong Kong, China",,
Donald,Goldfarb,Mathematics,"Columbia University, USA",,,
Donald A,Berry,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Donald B,Rubin,Mathematics,"Harvard University, USA",,,
Donald E,Cutlip,Clinical Medicine,"Beth Israel Deaconess Med Ctr, USA","Harvard University, USA",,
Donald G,Truhlar,Chemistry,"University of Minnesota, Twin Cities, USA",,,
Donald G,York,Space Science,"University of Chicago, USA",,,
Donald M,Berwick,"Social Sciences, general","Inst Healthcare Improvement, USA","Harvard University, USA",,
Donald M,Lloyd-Jones,Clinical Medicine,"Northwestern University, USA",,,
Donald P,Schneider,Space Science,"Pennsylvania State University - University Park, USA",,,
Dongge,Ma,Materials Science,"Chinese Academy of Sciences, China",,,
Dongyuan,Zhao,Chemistry,"Fudan University, China","Monash University, Australia",,
Dongyuan,Zhao,Materials Science,"Fudan University, China","Monash University, Australia",,
Donna,Karolchik,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Donna Marie,Muzny,Molecular Biology & Genetics,"Baylor College of Medicine, USA",,,
Donna R,Maglott,Biology & Biochemistry,"NIH, USA",,,
Dorothy M,Koch,Geosciences,"Columbia University, USA","NASA, USA; US DOE Joint Genome Institute, USA",,
Dorthe,Dahl-Jensen,Geosciences,"University of Copenhagen, Denmark",,,
Doug N,Greve,Neuroscience & Behavior,"Harvard University, USA",,,
Douglas E,Soltis,Plant & Animal Science,"University of Florida, USA",,,
Douglas F,Easton,Molecular Biology & Genetics,"University of Cambridge, UK",,,
Douglas G,Altman,Clinical Medicine,"University of Oxford, UK",,,
Douglas M,Sloane,"Social Sciences, general","University of Pennsylvania, USA",,,
Douglas N,Arnold,Mathematics,"University of Minnesota, Twin Cities, USA",,,
Douglas P,Finkbeiner,Space Science,"Harvard Smithsonian Ctr Astrophys, USA","Harvard University, USA",,
Douglas R,Cook,Plant & Animal Science,"University of California, Davis, USA",,,
Douglas R,Green,Molecular Biology & Genetics,"St Jude Childrens Hosp, USA",,,
Douglas R,Worsnop,Engineering,"Aerodyne Res Inc, USA","University of Helsinki, Finland",,
Douglas R,Worsnop,Geosciences,"Aerodyne Res Inc, USA","University of Helsinki, Finland",,
Douglas W,Stephan,Chemistry,"University of Toronto, Canada","King Abdulaziz University, Saudi Arabia",,
Giulio,Guagliumi,Clinical Medicine,"Osped Riuniti Bergamo, Italy",,,
Giuseppe,Caire,Computer Science,"University of Southern California, USA",,,
Giuseppe,Mancia,Clinical Medicine,"University of Milan - Bicocca, Italy",,,
Giuseppe,Marino,Mathematics,"University of Calabria, Italy","King Abdulaziz University, Saudi Arabia",,
Giuseppe,Mazza,Agricultural Sciences,"King Saud University, Saudi Arabia",,http://www.researcherid.com/rid/A-2833-2013,A-2833-2013
Giuseppe,Mingione,Mathematics,"University of Parma, Italy",,http://www.researcherid.com/rid/B-1054-2013,B-1054-2013
Giuseppe,Remuzzi,Clinical Medicine,"IRCCS Mario Negri Institute for Pharmacological Research, Italy","Azienda Ospedaliera Papa Giovanni XXIII, Bergamo, Italy",,
Giuseppe,Saglio,Clinical Medicine,"University of Turin, Italy",,,
Glen S,Kwon,Pharmacology & Toxicology,"University of Wisconsin - Madison, USA","King Abdulaziz University, Saudi Arabia",,
Glenn,Proctor,Biology & Biochemistry,"Eagle Genomics, UK",,,
Glenn M,Chertow,Clinical Medicine,"Stanford University, USA","University of California, San Francisco, USA",,
Goncalo R,Abecasis,Computer Science,"University of Michigan - Ann Arbor, USA",,,
Goncalo R,Abecasis,Molecular Biology & Genetics,"University of Michigan - Ann Arbor, USA",,,
Gongquan,Sun,Engineering,"Chinese Academy of Sciences, China",,,
Goran,Sandberg,Plant & Animal Science,"Umea University, Sweden",,,
Gordon,Luikart,Environment/Ecology,"The University of Montana - Missoula, USA","University of Porto, Portugal",,
Gordon B,Bonan,Geosciences,"Natl Ctr Atmospher Res, USA",,,
Gordon B,Mills,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Gordon H,Guyatt,Clinical Medicine,"McMaster University, Canada",,,
Gordon J,Freeman,Immunology,"Dana Farber Canc Inst, USA",,,
Gordon K,Smyth,Computer Science,"Walter & Eliza Hall Inst Med Res, Australia","University of Melbourne, Australia",,
Gordon T,Richards,Space Science,"Drexel University, USA","Max Planck Inst Astron, Germany",,
Graeme,Milligan,Pharmacology & Toxicology,"University of Glasgow, United Kingdom",,http://www.researcherid.com/rid/F-9426-2011,F-9426-2011
Graeme L,Stephens,Geosciences,"Colorado State University, USA",,,
Graham,Nichol,Clinical Medicine,"University of Washington, USA",,,
Graham,Noctor,Plant & Animal Science,"University of Paris Sud (Paris 11), France",,,
Graham C,Burdge,Agricultural Sciences,"University of Southampton, UK",,,
Graham J,Hutchings,Chemistry,"Cardiff University, UK",,,
Gregg A,Howe,Plant & Animal Science,"Michigan State University, USA",,,
Gregg C,Fonarow,Clinical Medicine,"University of California, Los Angeles, USA",,,
Gregg L,Semenza,Biology & Biochemistry,"The Johns Hopkins University, USA",,,
Gregg W,Stone,Clinical Medicine,"Columbia University, USA","New York Presbyterian Hosp, USA",,
Gregory,Jackson,Economics & Business,"Free University of Berlin, Germany",,,
Gregory B,Martin,Plant & Animal Science,"Cornell University, USA","King Abdulaziz University, Saudi Arabia",,
Gregory D,May,Plant & Animal Science,"DuPont Pioneer, USA",,,
Gregory D,Schuler,Biology & Biochemistry,"NIH, USA",,,
Gregory J,Hannon,Molecular Biology & Genetics,"Cold Spring Harbor Lab, USA",,,
Gregory J,Quirk,Neuroscience & Behavior,"University of Puerto Rico, USA",,,
Gregory M,Cooper,Molecular Biology & Genetics,"HudsonAlpha Inst Biotechnol, USA","University of Washington, USA",,
Gregory R,Carmichael,Geosciences,"University of Iowa, USA",,,
Gregory S,Tucker,Space Science,"Brown University, USA",,,
Gregory V,Lowry,Environment/Ecology,"Carnegie Mellon University, USA",,,
Gregory W,Albers,Clinical Medicine,"Stanford University, USA",,,
Gregory W,Wornell,Computer Science,"Massachusetts Institute of Technology (MIT), USA",,,
Gregory Y H,Lip,Clinical Medicine,"University of Birmingham, UK","Aalborg University, Denmark",,
Greta G,Cummings,"Social Sciences, general","University of Alberta, Canada",,http://www.researcherid.com/rid/B-4121-2009,B-4121-2009
Grigory,Starchenko,Biology & Biochemistry,"NIH, USA",,,
Guang-Bin,Huang,Engineering,"Nanyang Technological University, Singapore",,,
Guanrong,Chen,Engineering,"City University of Hong Kong, Hong Kong, China",,,
Guanrong,Chen,Physics,"City University of Hong Kong, Hong Kong, China",,,
Gudmar,Thorleifsson,Molecular Biology & Genetics,"deCODE Genet, Iceland",,,
Guido,Kroemer,Clinical Medicine,"University of Paris Descartes (Paris 5), France","Gustave Roussy Comprehensive Cancer Center, France; INSERM, France",,
Guido,Kroemer,Molecular Biology & Genetics,"University of Paris Descartes (Paris 5), France","Gustave Roussy Comprehensive Cancer Center, France; INSERM, France",,
Guido,Kroemer,Pharmacology & Toxicology,"University of Paris Descartes (Paris 5), France","Gustave Roussy Comprehensive Cancer Center, France; INSERM, France",,
Guido,Marcucci,Clinical Medicine,"The Ohio State University - Columbus, USA",,,
Guido R,Van Der Werf,Geosciences,"VU University Amsterdam, Netherlands",,,
Guido W,Imbens,Economics & Business,"Harvard University, USA",,,
Guillermo C,Bazan,Materials Science,"University of California, Santa Barbara, USA","King Abdulaziz University, Saudi Arabia",,
Guinevere,Kauffmann,Space Science,"Max Planck Inst Astrophys, Germany",,,
Guirong,Liu,Engineering,"University of Cincinnati, USA",,,
Gunnar,Myhre,Geosciences,"Ctr Int Climate & Environm Res Oslo CICERO, Norway",,,
Gunnar,Von Heijne,Biology & Biochemistry,"Stockholm University, Sweden",,,
Gunther,Hasinger,Space Science,"University of Hawaii at Manoa, USA",,,
Guochun,Zhao,Geosciences,"The University of Hong Kong, Hong Kong, China",,,
Guo-Ping,Liu,Engineering,"University of South Wales, United Kingdom",,http://www.researcherid.com/rid/O-3511-2014,O-3511-2014
Guoyao,Wu,Agricultural Sciences,"Texas A&M University - College Station, USA",,,
Guozhong,Cao,Materials Science,"University of Washington, USA",,,
Guus F,Rimmelzwaan,Microbiology,"Erasmus Med Ctr, Netherlands",,,
Guy,Coates,Biology & Biochemistry,"Wellcome Trust Sanger Inst, UK",,,
Guy,De Backer,Clinical Medicine,"Ghent University, Belgium",,,
Guy,Slater,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Guy F,Midgley,Environment/Ecology,"S African Natl Biodivers Inst, South Africa","University of KwaZulu-Natal, South Africa",,
Guy M,Goodwin,Psychiatry/Psychology,"University of Oxford, UK",,,
Gyoergy,Buzsaki,Neuroscience & Behavior,"New York University, USA",,,
H Jeff,Kimble,Physics,"California Institute of Technology, USA",,,
Hagop M,Kantarjian,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Hagop S,Akiskal,Psychiatry/Psychology,"University of California, San Diego, USA",,,
Hai,Cheng,Geosciences,"Xian Jiao Tong University, China","University of Minnesota, Twin Cities, USA",,
Haijiang,Wang,Engineering,"Natl Res Council Canada, Canada",,,
Hans,Clevers,Clinical Medicine,"Royal Netherlands Academy of Arts and Sciences, Netherlands","University Medical Center Utrecht, Netherlands",,
Hans,Lassmann,Neuroscience & Behavior,"Medical University of Vienna, Austria",,,
Hans,Wedel,Clinical Medicine,"Nord Sch Publ Hlth, Sweden",,,
Michael C,Heinrich,Clinical Medicine,"Oregon Health and Science University, USA","Portland VA Med Ctr, USA",,
Michael C,Holmes,Biology & Biochemistry,"Sangamo BioSci Inc, USA",,,
Michael C,Nevitt,"Social Sciences, general","University of California, San Francisco, USA",,,
Michael C,Sokol,"Social Sciences, general","Merck & Co Inc, USA",,,
Michael C,Zody,Molecular Biology & Genetics,"Broad Inst Harvard & Massachusetts Inst Technol M, USA",,,
Michael D,Ezekowitz,Clinical Medicine,"Lankenau Inst Med Res, USA",,,
Michael D,Fox,Neuroscience & Behavior,"Harvard University, USA",,,
Michael D,Greicius,Neuroscience & Behavior,"Stanford University, USA",,,
Michael D,McGehee,Materials Science,"Stanford University, USA",,,
Michael E,Chernew,"Social Sciences, general","Harvard University, USA",,,
Michael E,Greenberg,Neuroscience & Behavior,"Harvard University, USA",,,
Michael E,Mann,Geosciences,"Pennsylvania State University - University Park, USA",,,
Michael E,Thase,Psychiatry/Psychology,"University of Pennsylvania, USA",,,
Michael EJ,Lean,Agricultural Sciences,"The University of Glasgow, UK",,,
Michael F,Egan,Neuroscience & Behavior,"Merck Sharp & Dohme Corp, USA",,,
Michael F,Green,Psychiatry/Psychology,"University of California, Los Angeles, USA","Vet Adm Greater Los Angeles Healthcare Syst, USA",,
Michael F,Holick,Clinical Medicine,"Boston University, USA",,,
